WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
94728,20141201,0051,11,OVC095, ,10.00, , , ,54, ,12.2, ,47, ,8.2, ,39, ,3.9, , 57, , 5, ,VR , , , ,29.92, , , , , ,30.06, ,AA, , , ,30.09, 
94728,20141201,0151,11,OVC100, ,10.00, , , ,55, ,12.8, ,48, ,8.7, ,40, ,4.4, , 57, ,10, ,250, ,18, ,29.92, , , , , ,30.06, ,AA, , , ,30.09, 
94728,20141201,0251,11,OVC100, ,10.00, , , ,56, ,13.3, ,48, ,9.0, ,40, ,4.4, , 55, ,10, ,260, ,21, ,29.92, , , , , ,30.07, ,AA, , , ,30.09, 
94728,20141201,0351,11,OVC095, ,10.00, , , ,55, ,12.8, ,48, ,8.7, ,40, ,4.4, , 57, , 8, ,260, ,18, ,29.92, , , , , ,30.07, ,AA, , , ,30.09, 
94728,20141201,0451,11,SCT095, ,10.00, , , ,54, ,12.2, ,48, ,8.7, ,41, ,5.0, , 62, , 6, ,250, , , ,29.94, , , , , ,30.08, ,AA, , , ,30.11, 
94728,20141201,0551,11,CLR, ,10.00, , , ,54, ,12.2, ,48, ,8.7, ,41, ,5.0, , 62, , 5, ,VR , , , ,29.95, , , , , ,30.09, ,AA, , , ,30.12, 
94728,20141201,0651,11,BKN100, ,10.00, , , ,54, ,12.2, ,48, ,8.7, ,41, ,5.0, , 62, , 6, ,VR , , , ,29.96, , , , , ,30.10, ,AA, , , ,30.13, 
94728,20141201,0751,11,BKN110, ,10.00, , , ,54, ,12.2, ,48, ,8.9, ,42, ,5.6, , 64, , 7, ,VR , , , ,29.97, , , , , ,30.11, ,AA, , , ,30.14, 
94728,20141201,0851,11,OVC100, ,10.00, , , ,55, ,12.8, ,49, ,9.2, ,42, ,5.6, , 62, , 6, ,270, , , ,29.98, , , , , ,30.13, ,AA, , , ,30.15, 
94728,20141201,0951,11,FEW100, ,10.00, , , ,57, ,13.9, ,50, ,9.7, ,42, ,5.6, , 57, , 5, ,VR , , , ,29.99, , , , , ,30.14, ,AA, , , ,30.16, 
94728,20141201,1051,11,BKN110, ,10.00, , , ,61, ,16.1, ,52, ,11.0, ,43, ,6.1, , 52, , 6, ,250, , , ,29.98, , , , , ,30.12, ,AA, , , ,30.15, 
94728,20141201,1151,11,BKN110, ,10.00, , , ,62, ,16.7, ,52, ,11.2, ,43, ,6.1, , 50, , 7, ,260, , , ,29.95, , , , , ,30.10, ,AA, , , ,30.12, 
94728,20141201,1251,11,BKN100, ,10.00, , , ,63, ,17.2, ,53, ,11.7, ,44, ,6.7, , 50, , 6, ,VR , , , ,29.95, , , , , ,30.09, ,AA, , , ,30.12, 
94728,20141201,1351,11,OVC080, ,10.00, , , ,64, ,17.8, ,54, ,12.2, ,45, ,7.2, , 50, , 6, ,260, , , ,29.95, , , , , ,30.09, ,AA, , , ,30.12, 
